date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-11-28,SP,São Bernardo do Campo,city,29316,1031,True,844483,3548708,3471.47308,0.0352
2020-11-27,SP,São Bernardo do Campo,city,29207,1029,False,844483,3548708,3458.56577,0.0352
2020-11-26,SP,São Bernardo do Campo,city,29121,1028,False,844483,3548708,3448.38203,0.0353
2020-11-25,SP,São Bernardo do Campo,city,29007,1024,False,844483,3548708,3434.88264,0.0353
2020-11-24,SP,São Bernardo do Campo,city,28832,1021,False,844483,3548708,3414.15991,0.0354
2020-11-23,SP,São Bernardo do Campo,city,28726,1019,False,844483,3548708,3401.60785,0.0355
2020-11-22,SP,São Bernardo do Campo,city,28707,1019,False,844483,3548708,3399.35795,0.0355
2020-11-21,SP,São Bernardo do Campo,city,28613,1019,False,844483,3548708,3388.22688,0.0356
2020-11-19,SP,São Bernardo do Campo,city,28281,1014,False,844483,3548708,3348.91289,0.0359
2020-11-18,SP,São Bernardo do Campo,city,28164,1008,False,844483,3548708,3335.05825,0.0358
2020-11-17,SP,São Bernardo do Campo,city,28018,1002,False,844483,3548708,3317.76957,0.0358
2020-11-16,SP,São Bernardo do Campo,city,27829,998,False,844483,3548708,3295.38901,0.0359
2020-11-15,SP,São Bernardo do Campo,city,27810,998,False,844483,3548708,3293.13912,0.0359
2020-11-14,SP,São Bernardo do Campo,city,27795,998,False,844483,3548708,3291.36288,0.0359
2020-11-13,SP,São Bernardo do Campo,city,27683,998,False,844483,3548708,3278.10033,0.0361
2020-11-12,SP,São Bernardo do Campo,city,27564,998,False,844483,3548708,3264.00887,0.0362
2020-11-11,SP,São Bernardo do Campo,city,27402,994,False,844483,3548708,3244.82553,0.0363
2020-11-10,SP,São Bernardo do Campo,city,27355,991,False,844483,3548708,3239.26,0.0362
2020-11-05,SP,São Bernardo do Campo,city,27005,991,False,844483,3548708,3197.81452,0.0367
2020-11-04,SP,São Bernardo do Campo,city,26936,986,False,844483,3548708,3189.64384,0.0366
2020-11-03,SP,São Bernardo do Campo,city,26868,983,False,844483,3548708,3181.59158,0.0366
2020-11-02,SP,São Bernardo do Campo,city,26862,983,False,844483,3548708,3180.88108,0.0366
2020-10-31,SP,São Bernardo do Campo,city,26846,982,False,844483,3548708,3178.98643,0.0366
2020-10-30,SP,São Bernardo do Campo,city,26781,980,False,844483,3548708,3171.28942,0.0366
2020-10-29,SP,São Bernardo do Campo,city,26696,977,False,844483,3548708,3161.22409,0.0366
2020-10-28,SP,São Bernardo do Campo,city,26610,976,False,844483,3548708,3151.04034,0.0367
2020-10-27,SP,São Bernardo do Campo,city,26529,975,False,844483,3548708,3141.44867,0.0368
2020-10-26,SP,São Bernardo do Campo,city,26416,974,False,844483,3548708,3128.06771,0.0369
2020-10-25,SP,São Bernardo do Campo,city,26392,974,False,844483,3548708,3125.22573,0.0369
2020-10-24,SP,São Bernardo do Campo,city,26353,974,False,844483,3548708,3120.60752,0.037
2020-10-23,SP,São Bernardo do Campo,city,26257,973,False,844483,3548708,3109.23962,0.0371
2020-10-22,SP,São Bernardo do Campo,city,26124,969,False,844483,3548708,3093.49034,0.0371
2020-10-21,SP,São Bernardo do Campo,city,26058,961,False,844483,3548708,3085.6749,0.0369
2020-10-20,SP,São Bernardo do Campo,city,25985,957,False,844483,3548708,3077.03056,0.0368
2020-10-18,SP,São Bernardo do Campo,city,25910,955,False,844483,3548708,3068.14939,0.0369
2020-10-17,SP,São Bernardo do Campo,city,25904,955,False,844483,3548708,3067.43889,0.0369
2020-10-14,SP,São Bernardo do Campo,city,25557,946,False,844483,3548708,3026.34867,0.037
2020-10-13,SP,São Bernardo do Campo,city,25486,943,False,844483,3548708,3017.94115,0.037
2020-10-12,SP,São Bernardo do Campo,city,25481,943,False,844483,3548708,3017.34908,0.037
2020-10-11,SP,São Bernardo do Campo,city,25468,943,False,844483,3548708,3015.80967,0.037
2020-10-10,SP,São Bernardo do Campo,city,25374,943,False,844483,3548708,3004.6786,0.0372
2020-10-09,SP,São Bernardo do Campo,city,25233,939,False,844483,3548708,2987.982,0.0372
2020-10-08,SP,São Bernardo do Campo,city,25173,937,False,844483,3548708,2980.87706,0.0372
2020-10-06,SP,São Bernardo do Campo,city,25063,933,False,844483,3548708,2967.85134,0.0372
2020-10-03,SP,São Bernardo do Campo,city,24997,925,False,844483,3548708,2960.0359,0.037
2020-10-02,SP,São Bernardo do Campo,city,24897,923,False,844483,3548708,2948.19434,0.0371
2020-10-01,SP,São Bernardo do Campo,city,24799,916,False,844483,3548708,2936.58961,0.0369
2020-09-30,SP,São Bernardo do Campo,city,24765,912,False,844483,3548708,2932.56347,0.0368
2020-09-29,SP,São Bernardo do Campo,city,24682,908,False,844483,3548708,2922.73498,0.0368
2020-09-28,SP,São Bernardo do Campo,city,24552,904,False,844483,3548708,2907.34094,0.0368
2020-09-27,SP,São Bernardo do Campo,city,24542,904,False,844483,3548708,2906.15678,0.0368
2020-09-26,SP,São Bernardo do Campo,city,24541,904,False,844483,3548708,2906.03837,0.0368
2020-09-25,SP,São Bernardo do Campo,city,24463,899,False,844483,3548708,2896.80195,0.0367
2020-09-24,SP,São Bernardo do Campo,city,24348,897,False,844483,3548708,2883.18415,0.0368
2020-09-23,SP,São Bernardo do Campo,city,24228,893,False,844483,3548708,2868.97427,0.0369
2020-09-22,SP,São Bernardo do Campo,city,24179,886,False,844483,3548708,2863.17191,0.0366
2020-09-21,SP,São Bernardo do Campo,city,24045,870,False,844483,3548708,2847.30421,0.0362
2020-09-20,SP,São Bernardo do Campo,city,24015,870,False,844483,3548708,2843.75174,0.0362
2020-09-19,SP,São Bernardo do Campo,city,23967,869,False,844483,3548708,2838.06779,0.0363
2020-09-18,SP,São Bernardo do Campo,city,23868,861,False,844483,3548708,2826.34464,0.0361
2020-09-17,SP,São Bernardo do Campo,city,23795,855,False,844483,3548708,2817.7003,0.0359
2020-09-16,SP,São Bernardo do Campo,city,23701,853,False,844483,3548708,2806.56923,0.036
2020-09-15,SP,São Bernardo do Campo,city,23564,852,False,844483,3548708,2790.34628,0.0362
2020-09-14,SP,São Bernardo do Campo,city,23425,843,False,844483,3548708,2773.88651,0.036
2020-09-13,SP,São Bernardo do Campo,city,23421,843,False,844483,3548708,2773.41285,0.036
2020-09-12,SP,São Bernardo do Campo,city,23408,843,False,844483,3548708,2771.87344,0.036
2020-09-11,SP,São Bernardo do Campo,city,23331,841,False,844483,3548708,2762.75544,0.036
2020-09-10,SP,São Bernardo do Campo,city,23240,836,False,844483,3548708,2751.97961,0.036
2020-09-09,SP,São Bernardo do Campo,city,23079,824,False,844483,3548708,2732.91469,0.0357
2020-09-08,SP,São Bernardo do Campo,city,22964,814,False,844483,3548708,2719.2969,0.0354
2020-09-06,SP,São Bernardo do Campo,city,22908,807,False,844483,3548708,2712.66562,0.0352
2020-09-05,SP,São Bernardo do Campo,city,22859,805,False,844483,3548708,2706.86325,0.0352
2020-09-04,SP,São Bernardo do Campo,city,22743,805,False,844483,3548708,2693.12704,0.0354
2020-09-03,SP,São Bernardo do Campo,city,22650,794,False,844483,3548708,2682.11438,0.0351
2020-09-02,SP,São Bernardo do Campo,city,22321,789,False,844483,3548708,2643.15563,0.0353
2020-09-01,SP,São Bernardo do Campo,city,21951,779,False,844483,3548708,2599.34185,0.0355
2020-08-31,SP,São Bernardo do Campo,city,21716,776,False,844483,3548708,2571.51417,0.0357
2020-08-30,SP,São Bernardo do Campo,city,21709,776,False,844483,3548708,2570.68526,0.0357
